term_str,n,tfidf_x,dfidf,syu_sentiment,weighted_sentiment
abandon,1.0,0.023149535409399933,9.954559846999834,-0.75,-0.01736215155704995
abandoned,2.5,0.026619581810626153,20.353904536672562,-0.5,-0.013309790905313076
abandonment,2.0,0.022307423966427316,9.954559846999834,-0.25,-0.005576855991606829
abhor,1.6666666666666667,0.05401835864636994,13.176952268336285,-0.5,-0.02700917932318497
abhorred,1.5,0.027870367191594164,23.81823938799933,-1.0,-0.027870367191594164
abhorrent,1.0,0.04179916030419522,5.977279923499917,-0.5,-0.02089958015209761
abilities,1.0,0.0005340671840153607,5.977279923499917,0.6,0.0003204403104092164
ability,1.0,0.014518049580863652,15.909119693999665,0.5,0.007259024790431826
abject,1.5,0.03828558212667666,15.909119693999665,-1.0,-0.03828558212667666
abnormal,1.0,0.048203870350805776,5.977279923499917,-0.5,-0.024101935175402888
aboard,1.0,0.03983090768766546,13.176952268336285,0.25,0.009957726921916365
abortion,1.0,0.015485181148963516,5.977279923499917,-0.8,-0.012388144919170813
abortive,1.0,0.01812624344122265,9.954559846999834,-1.0,-0.01812624344122265
abrupt,1.25,0.021749476992729853,15.909119693999665,-0.25,-0.005437369248182463
abruptly,1.588235294117647,0.02173366171885281,32.126890398242814,-0.25,-0.005433415429713202
absence,5.1,0.0189520745537698,26.55351828612554,-0.5,-0.0094760372768849
absent,2.375,0.015100995434492292,23.81823938799933,-0.6,-0.009060597260695375
absolute,1.3333333333333333,0.012074230041438783,13.176952268336285,-0.25,-0.0030185575103596957
absolution,1.0,0.04038702651013457,5.977279923499917,0.1,0.0040387026510134575
absorbed,3.0,0.01953180029675632,15.909119693999665,0.5,0.00976590014837816
abstinence,1.0,0.00218655768915464,9.954559846999834,-0.25,-0.00054663942228866
abstraction,1.0,0.0173853930432817,9.954559846999834,-0.25,-0.004346348260820425
absurd,1.0,0.0190632800763022,15.909119693999665,-0.75,-0.01429746005722665
absurdity,1.0,0.040386092322472894,9.954559846999834,-0.5,-0.020193046161236447
absurdly,1.0,0.018881593158948783,13.176952268336285,-0.8000000000000002,-0.015105274527159027
abundance,2.0,0.009435327424624967,5.977279923499917,0.6,0.00566119645477498
abundant,3.5,0.0032983518107370016,9.954559846999834,0.5,0.0016491759053685008
abuse,1.0,0.031459368018420614,5.977279923499917,-1.0,-0.031459368018420614
abyss,2.3333333333333335,0.01372918597000023,13.176952268336285,-0.75,-0.010296889477500173
accentuated,1.0,0.08418704117605517,5.977279923499917,0.25,0.021046760294013794
accept,1.8333333333333333,0.018861881164029082,20.353904536672562,1.0,0.018861881164029082
acceptable,1.5,0.03655286921482682,9.954559846999834,0.5,0.01827643460741341
acceptance,1.0,0.02587844090421295,9.954559846999834,0.8,0.02070275272337036
accepted,2.2,0.011937359901064575,18.27675914306277,0.8,0.00954988792085166
accepts,1.0,0.010987646918198377,5.977279923499917,0.8,0.008790117534558701
accessible,1.0,0.0005340671840153607,5.977279923499917,0.75,0.00040055038801152054
accident,1.5384615384615385,0.015013735641509837,29.598922669664713,-0.5,-0.007506867820754918
accidental,1.0,0.02149278584782039,9.954559846999834,-1.0,-0.02149278584782039
accidentally,1.3333333333333333,0.015241010938665605,13.176952268336285,-0.6,-0.009144606563199362
accidents,1.125,0.04683561123920342,23.81823938799933,-0.6,-0.028101366743522056
accommodation,2.5,0.035453879210459754,9.954559846999834,0.4,0.014181551684183905
accompaniment,1.0,0.0005340671840153607,5.977279923499917,0.6,0.0003204403104092164
accompany,3.0,0.02027227381601088,22.189475010096185,0.4,0.008108909526404352
accompanying,3.0,0.003075992986420529,9.954559846999834,0.25,0.0007689982466051323
accomplish,2.6666666666666665,0.026430248755340908,13.176952268336285,0.75,0.01982268656650568
accomplished,2.4,0.012983666568844528,18.27675914306277,0.75,0.009737749926633395
