term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
doubt,-0.02362135923569771,-0.009401484418525454,-0.0112952611510481,-0.0037172854675058932,-0.01020840798782912,0.00043785087476611826,0.005815267010520736,0.020596421877566315,0.007095271566651764,-0.045559611526996766
soul,-0.045339473401611374,0.03463438831655641,-0.005652039141024551,-0.0020099991257391155,-0.007023443292115336,-0.044106899844357034,0.007543464659332564,-0.031850048353500304,0.06060286080292449,-0.08663951761805075
above,-0.025642013340102354,0.0037348775283036206,-0.005926481533199024,-0.003764982283102153,-0.028981164953960414,0.001277141473652041,0.00016238372827739878,0.03952601158968763,-0.0022027681926977405,0.006614906283104627
everything,-0.02104269137574387,-0.016714468001509775,0.013049121041417977,0.00546372616689271,-0.006213857983843392,0.012334816957339172,0.00034445223463791015,0.005066192929427062,0.014528671665132848,0.01564157579320373
forth,-0.026697395932104472,0.006707467326403593,0.0008412400009668586,-0.0009196154156511926,0.005574019263098445,0.04159985839873751,-0.013369982219620408,-0.005526462582130104,-0.003036320290289142,0.023245987791428974
means,-0.03261951549478085,0.016508618174864986,-0.007838146294454673,0.00820423477315223,-0.01111581689459118,0.020525580103520052,-0.0532654499094323,0.010275964588530917,-0.049084912444058604,0.0016956076111923624
minutes,-0.018874766296318516,-0.012756594987566528,0.003473035924149659,-0.00038314217842883025,-0.002130175994605965,0.02118352743943228,0.002019936237605602,0.013499088517060664,0.013130314974706535,0.011690125715550418
desire,-0.028308984474724824,0.022871695488741007,-0.0028806412780626595,7.971733183298468e-05,-0.015424032840511984,-0.026390534906288562,0.00021929549574854768,-0.04133840733890326,0.01129735254193389,-0.0012618377293425742
miserable,-0.05803908957408618,0.056092684610668755,-0.007043071118934225,-0.026618468618659463,0.029255641296167978,0.025093005088322226,0.11579792840283312,-0.0034957968671683604,-0.03444766723949006,0.015140494554178568
sleep,-0.031853017601811744,-0.003656723872531734,-0.021471995870831987,0.003326885867947521,0.014359026008511466,0.034549655021145084,0.028001727031476777,-0.006934452066588548,0.01054489323091748,0.022977057703376214
mans,-0.01666259016916562,-0.016546718063488158,0.004067695425832028,0.0026485867995971676,-0.007211628492798494,0.014069972067555633,0.0029578434522705144,0.00205905172702614,-0.0020837614725162656,-0.00898972133944756
wonderful,-0.02541577890693823,0.0005004793004258688,-0.012360618961981469,-0.01645684859470924,-0.00971694957020032,-0.004046712102264746,-0.012581630351845674,-0.04067808874196538,-0.02067857919268476,-0.032272880247313174
mr,-0.1443591062439371,-0.2537449890402923,0.3397344999180799,-0.2854279920028313,0.05223474784946641,-0.03435433438352054,0.07958942551802428,-0.07049470196407127,0.04373030568751485,-0.2674714003604016
always,-0.033648183557864815,0.01167445788948668,-0.014010812120989433,0.002454823457146477,-0.03260427081395619,-0.017807011132692813,-0.03031715469805163,-0.017005382867923136,-0.017634090126826374,-0.03728247344983833
ran,-0.03409748702725263,-0.04490707118392779,-0.012862433169479298,-0.015803490028248945,-0.015241554230165969,0.05210777744670936,0.005773820336629931,0.05137007014126535,0.11279271228276572,0.0023349629276590844
better,-0.027325155259232067,-0.006467553571343567,0.021556415231626647,0.006631435580052666,-0.03013792208576402,-0.006262163070844595,-0.019441316443612466,0.009603489978712187,-0.017981668943281737,0.0069041725537888066
closed,-0.02199762884186862,-0.019095198006565547,0.008103041023560362,-0.004664504590803524,-0.010106811919213527,-0.0025478195811740045,0.003919803882584116,-0.0052977228444321825,0.00548765943991858,0.005040625961762635
view,-0.028465495650848785,0.002313991628131572,0.008952335983715788,0.006963828204150051,-0.038919806917827614,0.008055250875988629,-0.008077007074285714,0.006842710824572523,-0.013643255719618348,0.0026418967407252636
village,-0.034902223978928455,-0.03009755255757263,0.045067647507883904,-4.677025209050041e-05,0.005905154581593375,0.015889049857658738,0.005053182339288309,0.01033309454231493,0.013785555569896524,-0.07296240222061989
longer,-0.03070397157246298,0.01505688299133552,-0.004435715624457996,-0.0018183273244010082,-0.00646309673643533,0.011511257725623641,0.012069214059616612,0.004246325322760536,-0.028034923765941633,-0.005898522286072461
lips,-0.023942517225562454,0.0004557792456663772,-0.009818699514108924,-0.0035441506430297777,0.010146042126732887,-0.006033561429165349,0.0003750482663762711,0.012816902137324046,0.0036423995987349134,-0.007881418550392705
earth,-0.0413153728574673,0.02934123545754338,-0.010405345916476433,-0.0025919709238572896,0.01720389040271487,0.05920018816334008,0.01618826441760108,-0.009222492965203964,-0.02952294445539075,0.024269553769257324
sun,-0.0461743091687121,0.0358259239359821,-0.003869454563940017,-0.004484104405111466,0.027296829056663755,0.08778376684266,0.06205138903941032,-0.051592207358065134,-0.031168346069096006,0.038732896630144786
side,-0.029064361166023282,-0.012960991708393342,-0.0089571552088319,0.006662445818971111,-0.06548765719547085,0.0007088111454374993,-0.008659098520991015,0.04515611503860673,-0.02520301958045294,0.004408672213460845
leave,-0.028062857290408725,0.012739182265209129,9.769085297323955e-05,0.0020197969745606513,0.0027741700692995017,-0.017555821630763208,0.025957445381600126,-0.00797325757816447,-8.892519532220818e-05,0.03169946415695166
sight,-0.041510672416428675,0.010089516968182947,0.00037614709701946566,0.00299771612247086,-0.10024616514246025,0.023780144371535056,0.01447130476396795,0.01537980317239244,-0.019828922301989182,0.0009636464113100263
young,-0.040747971380300785,0.009449769289448108,-0.0041324393975427295,0.012477636626104481,0.007113228264840806,0.10848270104380861,-0.06576890484420185,-0.02425067295698172,0.04741037127575863,0.0520076869539814
spoke,-0.027004786708487737,0.014094742233619461,-0.005082486559160493,0.004357839327987674,0.026630397760590546,-0.01179867598266104,0.004325484505260705,0.024954427141649478,-0.024477287204071985,0.0060907287381259615
rushed,-0.031295317561220226,-0.025837555010202785,0.013442237833472646,-0.000746714477016562,0.00547160993032748,0.03646149914426179,0.025945703626557345,0.04676660500886741,0.05770514891390162,0.02237796066462027
friends,-0.050481775481320344,0.04660058770206517,-0.0029834022551514473,-0.009216934836799723,0.036075334545802924,0.048366725668882914,0.0019243380005914898,-0.02573863178670352,-0.032379100287147806,-0.03477856733635893
person,-0.02843346317669383,0.0003215707284731447,0.006319719913834675,0.0018931827629241125,-0.016168927625372104,0.027357261120693185,-0.006482033166485141,-0.008302099979595568,-0.0010580713028274667,-0.02725325040497458
gone,-0.02859545038508673,-0.014201999308635933,0.01923098757306745,-0.004681653531748076,-0.0009374958641704589,-0.014018637103290443,-0.0030451992142115866,0.002634656995786761,0.034632950973401584,-0.00041679740641726844
followed,-0.03261526691671422,-0.002444041395530063,0.0041546863523394435,-0.00982731702452851,-0.01002537952067317,0.014364220794673881,0.04743071057043686,0.016294559900217265,0.00939007511873388,0.012761397233321927
figure,-0.03202076854080153,-0.021150721259012416,0.008697485600806213,0.0037859464346264625,-0.04269128062786433,0.02056160989837949,-0.015708856668112364,0.017230420308831262,0.035677319331195764,0.059535011181148324
seeing,-0.021335619636284286,-0.012579298914579942,0.005803587579892606,0.010549742036935726,-0.008868573123737993,0.02161392779136271,0.0012506969813808313,0.020937495009239894,0.033781132073497436,0.011696415428833498
fell,-0.03062810562214706,-0.003308183904737891,-0.013728115988515843,0.009720241587656428,0.01595209935841105,0.031265675200475275,-0.003530048202188545,0.036447089251948346,0.021803543290614937,0.037066000273359455
attention,-0.026287650377024442,0.009971286245992158,-0.009502173186218037,0.002107738851523253,-0.010249072809190813,0.0039551036922632855,-0.015326589356166667,-0.017266119608225404,0.021566215727942442,-0.03946034334238753
story,-0.0326286773739522,-0.022180291238906726,-0.006880625985204866,-0.03001568022013221,-0.029658806192674605,-0.01505653064316076,-0.020285173532985312,-0.03847227727877576,-0.05658322701545845,-0.04556081640615541
read,-0.037050030975129364,0.007763867095608108,-0.020418891028310578,-0.0022231522720257643,0.009776503860188208,-0.0011703823053755334,-0.03583716219215334,-0.0600523568074147,-0.005906415164466078,-0.03614284261678502
because,-0.031492844838463055,-0.00595270251257478,-0.023584255577105518,0.0016533350453825587,-0.03838099763284611,0.0026641470372367124,-0.0013684954831422276,-0.01056059330565189,-0.005472906445765087,0.0046260283752778825
