topic_id,0,1,2,3,4,5,6,7,8,label,doc_weight_sum_brit,term_freq
T00,door,room,house,head,face,man,hand,window,moment,"T00 door, room, house, head, face, man, hand, window, moment",411.5958451690496,0.08791853822117632
T01,heart,life,love,mind,time,father,years,eyes,affection,"T01 heart, life, love, mind, time, father, years, eyes, affection",505.73113732332314,0.18257822642441812
T02,nature,words,time,people,hand,heart,man,men,matter,"T02 nature, words, time, people, hand, heart, man, men, matter",288.0650525848897,0.06861364719441168
T03,sea,sun,wind,heart,day,earth,night,trees,waves,"T03 sea, sun, wind, heart, day, earth, night, trees, waves",316.1590824145519,0.11824515857607694
T04,life,man,day,eyes,time,sight,moment,city,heart,"T04 life, man, day, eyes, time, sight, moment, city, heart",317.34249233922014,0.11604621986835152
T05,man,men,life,house,mariner,death,chapter,time,world,"T05 man, men, life, house, mariner, death, chapter, time, world",325.84929640813937,0.07562895508527431
T06,stranger,man,table,way,eye,things,sir,yes,arm,"T06 stranger, man, table, way, eye, things, sir, yes, arm",351.25000400374745,0.05586876323489193
T07,sides,life,father,time,day,days,voice,power,family,"T07 sides, life, father, time, day, days, voice, power, family",346.216761076301,0.10018886173088747
T08,love,man,time,life,night,heart,face,moment,home,"T08 love, man, time, life, night, heart, face, moment, home",297.37984864228133,0.06935055923504632
T09,country,day,plague,death,man,night,life,earth,things,"T09 country, day, plague, death, man, night, life, earth, things",335.41048003850113,0.12556107042946543
