term_str,n,max_pos
0,3,CD
1,12,CD
10,6,CD
1000,1,CD
11,3,CD
11th,2,CD
12,4,CD
1255,1,CD
12th,2,CD
13,3,CD
1348,1,CD
13th,1,CD
14,4,CD
15,3,CD
16,5,CD
17,14,CD
18,4,CD
1822,1,CD
1884,2,CD
18th,2,CD
19,4,CD
1999,1,CD
1999th,2,CD
19th,2,CD
2,19,CD
20,4,CD
2000,1,CD
2073,1,CD
2090,1,CD
2092,2,CD
2094,1,CD
2096,1,CD
2097,1,CD
2098,1,CD
21,4,CD
2100,1,CD
22,3,CD
23,2,NN
24,1,JJ
25,1,NN
26,1,JJ
26th,1,CD
27th,1,CD
28th,1,CD
2d,2,CD
2nd,1,CD
3,12,CD
30,1,CD
30th,1,CD
31st,1,CD
32,3,CD
33,5,CD
4,10,CD
5,4,CD
55,1,CD
58,1,CD
59,1,CD
5th,2,CD
6,5,CD
60,3,CD
6457,3,CD
6eltons,1,JJ
7,5,CD
7th,4,CD
8,7,CD
9,6,CD
9th,1,CD
a,6144,DT
ab,7,NNP
aback,1,NN
abaft,1,VBP
abandon,2,VB
abandoned,15,VBN
abandoning,2,VBG
abandonment,4,NN
abatement,1,NN
abbey,2,NNP
abbott,1,NNP
abbreviated,1,VBN
abdicate,1,VBP
abdicated,3,VBD
abdication,7,NN
abdications,1,NNS
aberrations,1,NN
abhor,5,VBP
abhorred,12,JJ
abhorrence,7,NN
abhorrent,1,JJ
abhorring,1,VBG
abilities,1,NN
ability,4,NN
abject,6,JJ
abjure,2,VBP
able,42,JJ
ablest,2,JJS
ably,1,RB
abnormal,1,JJ
aboard,3,IN
abode,59,NN
abodebut,1,IN
abodei,1,VBN
abodeonce,1,NN
abodes,6,NN
abolished,2,JJ
abolition,2,NN
abon,1,NNP
abortion,1,NN
abortive,2,JJ
about,324,IN
above,93,IN
abovei,1,RB
abovethe,1,JJ
abra,2,NNP
abridge,1,VB
abroad,13,RB
abroadin,1,IN
abrogated,1,JJ
abrogation,1,NN
abrupt,5,JJ
abruptly,27,RB
abruptness,2,NN
absence,51,NN
absent,19,JJ
absolute,4,NN
absolutely,13,RB
absolution,1,JJ
absorb,3,VB
absorbed,12,VBN
absorbing,5,VBG
absorbs,3,JJ
abstain,1,NN
abstained,2,VBD
abstaining,1,VBG
abstemious,1,JJ
abstention,1,NN
abstinence,2,VB
abstract,2,VB
abstracted,1,JJ
abstraction,2,NN
abstruse,2,NN
absurd,4,JJ
absurdity,2,NN
absurdly,3,RB
abundance,2,NN
abundant,7,JJ
abuse,1,NN
abutted,1,VBD
abyss,7,NN
abysses,1,JJ
ac,2,VBP
accede,1,VB
acceded,2,VBD
accelerated,1,JJ
accent,7,NN
accents,14,NNS
accentuated,1,VBD
accept,11,VB
acceptable,3,JJ
acceptance,2,NN
accepted,11,VBD
accepts,1,VBZ
access,8,NN
accesses,1,NNS
accessible,1,JJ
accident,20,NN
accidental,2,JJ
accidentally,4,RB
accidentand,1,NN
accidents,9,NNS
accidenttill,1,IN
acclamations,1,NNS
acclivity,3,NN
accommodate,2,VB
accommodation,5,NN
accommodationclothes,1,JJ
accommodationi,1,NN
accompanied,31,VBD
accompanies,2,VBZ
accompaniment,1,NN
accompany,21,VB
accompanying,6,VBG
accomplish,8,VB
accomplished,12,JJ
accomplishment,14,NN
accomplishments,3,NN
accord,8,NN
accordance,7,NN
accordant,1,NN
accorded,7,VBN
according,21,VBG
accordingly,14,RB
accost,2,VB
accosted,3,VBD
account,74,NN
accounted,3,VBN
accounting,1,VBG
accounts,11,NNS
accoutred,2,VBD
accoutrements,1,NNS
accrue,1,NN
accrued,1,VBN
accumulate,1,VB
accumulated,5,VBN
accumulating,1,VBG
accumulation,2,NN
accuracy,4,NN
accurate,1,JJ
accurately,2,RB
accursed,7,JJ
accusation,3,NN
accusationspoor,1,JJ
accuse,3,VBP
accused,14,VBD
accuses,1,VBZ
accustomed,32,JJ
ace,1,NN
aces,1,NNS
ache,1,NN
ached,2,VBN
aches,2,VBZ
achieve,11,VB
achieved,11,VBD
achievement,1,NN
achievements,6,NN
aching,10,VBG
acid,1,NN
acknowledge,9,VB
acknowledged,9,VBD
acknowledging,1,VBG
acknowledgment,1,NN
acme,1,NN
acorns,2,NNS
acquaintance,2,NN
acquaintances,3,NN
acquainted,26,VBN
acquiesce,2,VB
acquiesced,1,VBD
acquiescence,1,NN
acquire,8,VB
acquired,17,VBN
acquirement,4,NN
acquirements,1,NN
acquires,1,VBZ
acquiring,5,VBG
acquisition,4,NN
acquisitions,1,NN
acquit,2,VB
acquittal,2,NN
acquitted,2,VBD
acrimonious,1,NN
acrimony,1,NN
acropolis,1,NNP
across,63,IN
act,52,NN
acted,28,VBD
acti,1,VB
acting,8,VBG
action,38,NN
actions,24,NNS
active,23,JJ
activity,15,NN
actor,4,NN
actors,6,NNS
acts,12,NNS
actual,6,JJ
actually,10,RB
actuated,10,VBN
actuates,1,VBZ
acute,14,JJ
acutely,2,RB
acuteness,2,NN
adage,1,NN
adam,2,NNP
adamantine,2,NN
adamantwithout,1,JJ
adams,1,NNP
adapt,2,VB
adaptation,1,NN
adapted,8,VBN
add,14,VB
added,69,VBD
addedmust,1,IN
adderdean,4,NNP
adders,2,NN
addicted,1,VBN
adding,4,VBG
addition,9,NN
additional,6,JJ
address,12,NN
addressed,31,VBD
addressing,4,VBG
adds,1,VBZ
adduced,3,VBN
adept,4,NN
adequate,4,JJ
adhere,2,RB
adhered,3,VBD
adherence,1,NN
adherents,2,NN
adieu,8,NN
adjacent,2,JJ
adjoining,2,NN
adjuration,4,NN
adjurations,1,IN
adjure,1,VB
adjusted,1,VBD
administered,10,VBD
administering,1,VBG
administrators,1,NNS
admirable,9,JJ
admiral,2,NN
admiration,38,NN
admire,8,VB
admired,10,VBD
admirer,3,NN
admirers,3,NNS
admires,1,NNS
admiring,2,VBG
admission,2,NN
admit,9,VB
admits,1,VBZ
admittance,3,NN
admitted,13,VBD
admonition,1,NN
admonitions,1,NN
ado,1,NNS
adolescents,1,NN
adonis,1,NNP
adopt,8,VB
adopted,10,VBN
adoption,1,NN
adorable,1,JJ
adoration,5,NN
adore,1,VB
adored,15,JJ
adores,1,VBZ
adorn,10,VB
adorned,17,VBN
adorner,1,NN
adorning,1,VBG
adornment,2,NN
adornments,2,NNS
adorns,1,VBZ
adown,2,IN
adrian,285,NNP
adrians,32,NNP
adriatic,2,NNP
adrift,2,RP
adult,2,NN
adults,1,NN
advance,20,NN
advanced,46,VBD
advancedit,1,VBP
advancement,4,NN
advances,7,NNS
advancing,11,VBG
advantage,26,NN
advantageous,1,JJ
advantages,15,NNS
advent,2,NN
adventure,3,NN
adventurer,2,NN
adventures,4,NN
adventurous,4,JJ
adversaries,3,NN
adversary,12,NN
adversarys,2,NN
adverse,5,JJ
adversity,8,NN
adverted,2,VBD
adverting,1,VBG
advertisement,1,NN
advice,9,NN
advisability,1,NN
advise,2,VB
adviseable,1,JJ
advised,3,VBD
advocate,2,NN
